Composite,IDENT,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn ,Zr,Sr,FeO,LOI371,LOI371-650,LOI650-1000,LOITotal,Fe3O4
GVRD0267-F-10,47420271,33.39,34.85,1.637,0.073,0.649,0.595,0.12,0.288,2.55,0.194,0.04,0.003,<0.001,<0.001,0.003,<0.001,0.003,<0.001,0.016,0.005,<0.001,<0.001,0.003,0.009,26.2,0.1,10.66,0.16,10.92,24.88
GVRD0267-F-11,47420272,35.11,33.5,1.248,0.05,0.65,0.893,0.139,0.075,2.44,0.17,0.01,0.003,<0.001,<0.001,<0.001,<0.001,0.002,<0.001,0.01,0.002,<0.001,<0.001,0.002,0.011,26.1,0.07,10.08,-0.14,10.01,30.06
GVRD0267-F-12,47420273,34.91,38.06,0.894,0.04,0.575,1.216,0.087,0.075,2.13,0.167,0.02,0.002,<0.001,0.001,0.002,<0.001,0.004,<0.001,0.009,0.003,<0.001,0.001,0.002,0.012,21,0.01,5.84,0.47,6.32,37.06
GVRD0267-F-13,47420274,35.87,37.52,1.507,0.066,0.602,0.642,0.122,0.069,1.85,0.413,0.015,0.003,<0.001,<0.001,0.001,<0.001,0.008,<0.001,0.011,0.004,<0.001,<0.001,0.002,0.011,21.1,-0.03,5.58,-0.34,5.21,38.79
GVRD0267-F-14,47420275,35.24,36.81,1.528,0.065,0.541,0.746,0.146,0.114,2.18,0.166,0.01,0.003,<0.001,0.002,0.001,<0.001,0.004,0.002,0.013,0.005,<0.001,<0.001,0.003,0.01,23.4,0,7.06,-0.28,6.78,34.8
GVRD0268-F-10,47420276,34.67,37.53,1.358,0.056,0.593,1.67,0.107,0.101,2.21,0.079,0.01,0.003,<0.001,<0.001,0.001,<0.001,<0.001,<0.001,0.01,0.004,<0.001,0.001,0.003,0.009,20.5,0.04,5.05,0.96,6.05,36.2
GVRD0268-F-11,47420277,37.32,35.67,1.151,0.051,0.584,1.261,0.129,0.062,1.96,0.188,0.009,0.002,<0.001,<0.001,0.002,<0.001,0.006,<0.001,0.009,0.004,<0.001,<0.001,0.002,0.012,20.7,0.02,4.82,0.3,5.14,40.51
GVRD0268-F-12,47420278,36.43,37.35,1.112,0.045,0.659,0.728,0.105,0.067,1.81,0.327,0.016,0.002,<0.001,0.001,0.002,<0.001,0.008,<0.001,0.009,0.003,<0.001,<0.001,0.002,0.011,19.8,0.02,5.39,-0.13,5.28,37.17
GVRD0268-F-13,47420279,35.5,38.47,0.973,0.042,0.548,1.267,0.088,0.042,1.97,0.115,0.006,0.002,<0.001,0.001,0.002,<0.001,0.009,<0.001,0.009,0.002,<0.001,<0.001,0.002,0.011,20.3,0.01,4.91,0.5,5.42,39.44
GVRD0268-F-14,47420280,31.48,38.21,2.425,0.104,0.478,0.647,0.094,0.167,2.83,0.022,0.009,0.003,<0.001,<0.001,0.001,<0.001,<0.001,0.002,0.018,0.007,<0.001,<0.001,0.003,0.01,24.5,0.1,9.43,-0.03,9.5,22.08
GVRD0268-F-15,47420281,35.45,37.91,1.766,0.078,0.534,0.565,0.131,0.092,1.98,0.189,0.018,0.003,<0.001,0.001,0.003,<0.001,0.006,0.002,0.015,0.005,<0.001,<0.001,0.002,0.01,22.4,0.03,5.92,-0.4,5.55,36.42
GVRD0269-F-8,47420282,33.83,38.93,1.872,0.083,0.565,0.668,0.122,0.197,2.19,0.27,0.019,0.003,<0.001,0.002,0.001,<0.001,0.002,0.002,0.016,0.005,<0.001,<0.001,0.003,0.01,21.9,0.07,6.04,-0.12,5.99,33.94
NSRD0796-F-10,47420085,33.14,32.67,0.943,0.038,0.582,0.71,0.095,0.007,2.26,0.44,0.151,0.002,0.002,0.004,0.002,<0.001,0.002,<0.001,0.006,0.001,<0.001,<0.001,0.002,0.009,27.5,0.12,14.19,0.01,14.32,16.22
NSRD0796-F-11,47420086,33.29,30.58,1.094,0.046,0.564,0.83,0.1,0.015,2.28,0.36,0.025,0.002,0.001,0.003,<0.001,<0.001,0.009,<0.001,0.007,0.003,<0.001,<0.001,0.002,0.008,32.1,0.19,15.89,0.04,16.12,14.53
