Mineral,Spinel_group,Hematite_group,Quartz,Chlorite_group,Dolomite_group,Calcite_group-Siderite,Calcite_group-Calcite,Pyrite_group,Rutile_group,K-Feldspar,Stilpnomelane,Mica_group,Plagioclase,Goethite,Smectite_group,Sepiolite,Kaolinite-serpentine_group,Pyroxene,Total,Unassigned_peak,report,Client_sample_ID,BV_sample_ID
1-0055,31,3,38,4,5,10,0.5,,0.5,3,4,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 4-53um DTR Feed,1-0055
2-0056,23,0.5,34,9,4,12,0.5,0.5,0.5,6,8,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 5-53um DTR Feed,2-0056
3-0057,14,,30,14,4,10,1,,,17,11,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 6-53um DTR Feed,3-0057
4-0058,11,0.5,31,15,3,13,0.5,0.5,1,13,12,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 8-53um DTR Feed,4-0058
5-0059,26,1,36,8,6,11,0.5,0.5,0.5,5,6,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 11-53um DTR Feed,5-0059
6-0060,29,2,34,6,5,12,0.5,,0.5,5,6,,,,,,,,100,Tr,N9646XD21,NSRD0800 Comp 15-53um DTR Feed,6-0060
1-074,89,,6,0.5,,,3,,,,2,,,,,,,,100,Tr,N9741XD21,44710074 NSRD0798 Comp 3 -53um DTR Cons,1-074
2-075,89,,7,,,,2,,,,2,,,,,,,,100,Tr,N9741XD21,44710075 NSRD0798 Comp 4 -53um DTR Cons,2-075
3-076,85,,10,,1,,2,,0.5,,1,,,,,,,,100,Tr,N9741XD21,44710076 NSRD0798 Comp 5 -53um DTR Cons,3-076
4-077,89,,6,,0.5,,3,,,,2,,,,,,,,100,Tr,N9741XD21,44710077 NSRD0798 Comp 6 -53um DTR Cons,4-077
5-078,82,,8,0.5,,,4,0.5,,,4,,,,,,,,100,Tr,N9741XD21,44710078 NSRD0798 Comp 7 -53um DTR Cons,5-078
6-079,84,,7,,,,3,0.5,,,5,,,,,,,,100,Tr,N9741XD21,44710079 NSRD0798 Comp 8 -53um DTR Cons,6-079
7-080,86,,6,0.5,,,4,,,,5,,,,,,,,100,Tr,N9741XD21,44710080 NSRD0798 Comp 9 -53um DTR Cons,7-080
8-081,90,,5,0.5,,,3,,,,3,,,,,,,,100,Tr,N9741XD21,44710081 NSRD0798 Comp 10 -53um DTR Cons,8-081
9-082,3,,46,4,3,,23,,,,21,,,,,,,,100,Tr,N9741XD21,44710082 NSRD0798 Comp 3 -53um DTR Tails,9-082
10-083,1,,51,5,7,,16,,1,,19,,,,,,,,100,Tr,N9741XD21,44710083 NSRD0798 Comp 4 -53um DTR Tails,10-083
11-084,1,,51,1,11,,13,,2,7,14,,,,,,,,100,Tr,N9741XD21,44710084 NSRD0798 Comp 5 -53um DTR Tails,11-084
12-085,1,,49,4,9,,14,,1,,22,,,,,,,,100,Tr,N9741XD21,44710085 NSRD0798 Comp 6 -53um DTR Tails,12-085
13-086,0.5,,40,4,5,,21,,,,28,,,,,,,,100,Tr,N9741XD21,44710086 NSRD0798 Comp 7 -53um DTR Tails,13-086
14-087,0.5,,40,4,3,,22,,,,30,,,,,,,,100,Tr,N9741XD21,44710087 NSRD0798 Comp 8 -53um DTR Tails,14-087
15-088,0.5,,33,5,6,,21,,,,34,,,,,,,,100,Tr,N9741XD21,44710088 NSRD0798 Comp 9 -53um DTR Tails,15-088
16-089,0.5,,41,6,8,,14,,,,30,,,,,,,,100,Tr,N9741XD21,44710089 NSRD0798 Comp 10 -53um DTR Tails,16-089
1-44710164,,2,50,3,2,23,,,,2,19,,,,,,,,100,Tr,N9774XD21,44710164 NSRD0798 Comp 3 -45um DTR Tails,1-44710164
2-44710165,,2,51,4,8,15,,,,3,17,,,,,,,,100,Tr,N9774XD21,44710165 NSRD0798 Comp 4 -45um DTR Tails,2-44710165
3-44710166,,1,53,1,10,12,,,,10,13,,,,,,,,100,Tr,N9774XD21,44710166 NSRD0798 Comp 5 -45um DTR Tails,3-44710166
4-44710167,,1,49,4,9,14,,,,3,20,,,,,,,,100,Tr,N9774XD21,44710167 NSRD0798 Comp 6 -45um DTR Tails,4-44710167
5-44710168,,0.5,42,4,4,23,,,,,26,,,,,,,,100,Tr,N9774XD21,44710168 NSRD0798 Comp 7 -45um DTR Tails,5-44710168
6-44710169,,1,41,3,2,24,,,,,29,,,,,,,,100,Tr,N9774XD21,44710169 NSRD0798 Comp 8 -45um DTR Tails,6-44710169
