Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
NSRD0796-F-2,Feed,35.2,39.7,1.4,0.06,0.56,0.44,0.12,0.06,1.8,0.35,0.03,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,25,0.49,4.33,-0.08,4.74,30.62,40.034
NSRD0796-F-3,Feed,35.61,37.45,1.73,0.08,0.57,0.59,0.09,0.07,2.36,0.52,0.04,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,36.7,0.11,5.28,-0.34,5.05,24.39,40.085
NSRD0796-F-4,Feed,35.04,39.61,1.14,0.05,0.6,0.79,0.1,0.03,1.98,0.26,0.04,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,37.7,0.08,5.11,-0.45,4.74,30.04,40.009
NSRD0796-F-5,Feed,35.67,35.33,1.45,0.07,0.62,0.71,0.1,0.08,2.41,0.31,0.07,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,33.3,0.33,7.31,-0.35,7.29,30.06,40.053
NSRD0796-F-6,Feed,34.44,34.82,1.28,0.05,0.6,0.67,0.1,0.06,2.25,0.35,0.2,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,26.9,2.22,8.01,-0.23,10,25.87,40.036
NSRD0796-F-7,Feed,35.36,36.67,1.1,0.05,0.59,0.79,0.08,0.02,2.02,0.29,0.21,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,32.5,0.27,7.21,-0.31,7.17,28.04,40.041
NSRD0797-F-3,Feed,33.34,37.87,2.03,0.09,0.49,0.79,0.09,0.1,3.26,0.19,0.06,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0.01,0.01,29.4,7.04,0.64,6.57,-0.17,28.45,40.024
NSRD0797-F-4,Feed,34.11,38.99,1.06,0.05,0.62,1.39,0.09,0.02,2.65,0.28,0.06,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,36.4,5.38,0.32,4.51,0.55,28.98,40.05
NSRD0797-F-8,Feed,35.24,38.04,1.36,0.06,0.56,1,0.1,0.05,2.72,0.28,0.07,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,36.1,5.05,0.36,4.66,0.03,30.53,39.999
NSRD0797-F-9,Feed,36.67,36.65,1.25,0.06,0.58,1.29,0.12,0.03,2.54,0.43,0.05,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0.01,0.01,40.5,4.31,0.22,3.81,0.28,29.98,40.083
