FMG Training (Long List) / Sample,Type,Magnetite/Hematite,"Fe-Carbonates Mix (Ca, Si, Al, Mn, Mg)",Quartz,Stilpnomelane,Chlorite + Clay Minerals,Other Micas,K-Feldspar,Albite,Zircon,Calcite,Ankerite/Dolomite,Apatite,Monazite,Fluorite,Pyrite,Chalcopyrite,Pyrrhotite,Baryte,Ilmenite,Chromite,Rutile,Others,Total
7 - NSRD0801 Comp 3 Tails,Tails,3.27279659,8.07491934,56.29348367,3.15151904,12.90192504,0.02759117,10.44151155,0.03777118,0,0.00149031,2.79738519,0.79557464,0.03892659,0,0.41341079,0,0.04715338,0,0.1448314,0.01434687,0.02257317,1.52279009,100
8 - NSRD0801 Comp 4 Tails,Tails,1.83637734,10.15873136,51.37147798,2.63470495,14.72553153,0.01775812,11.86289863,0.08067048,0,0.0002515,3.71585362,0.84792006,0.04526661,0,0.48745621,0,0.04966577,0,0.23593806,0.06319035,0.02581977,1.84048766,100
9 - NSRD0801 Comp 5 Tails,Tails,3.00332387,10.36330185,54.41710782,3.98297837,14.81722253,0.01644184,8.00115553,0.00815742,0,0,2.13580761,0.79830373,0.05207425,0,0.3464861,0.00018522,0.02779269,0,0.16144568,0.04421548,0.02897644,1.79502357,100
10 - NSRD0801 Comp 6 Tails,Tails,2.39632479,13.58323223,43.10863448,8.97040568,23.00909514,0.01916859,3.70346302,0.0026029,0,0.00257176,2.02227604,0.69622938,0.04925247,0,0.33158429,0,0.05867592,0.00056465,0.2396734,0.07736846,0.02977635,1.69910046,100
11 - NSRD0801 Comp 7 Tails,Tails,6.69667928,10.80500574,44.86654608,7.60748291,21.92175039,0.00937,2.63508923,0.00059126,0,0.00013105,2.39077243,0.7290457,0.04990582,0,0.33599553,0.00037236,0.05865562,0,0.22726234,0.02263171,0.02613568,1.61657687,100
12 - NSRD0801 Comp 8 Tails,Tails,1.78678373,10.16707007,44.77232769,10.45094128,19.33452889,0.03011636,6.82402688,0.00078456,0.00066307,0,2.60649734,1.17845681,0.03863765,0,0.41706842,0.00230577,0.0454875,0,0.22560645,0.03442609,0.03408921,2.05018223,100
19 - NSRD0800 Comp 4 Tails,Tails,4.95234206,7.14105203,60.45651362,1.44693158,10.44817664,0.02325204,11.12343254,0.49975992,0,0,1.07539385,0.91411853,0.04182663,0,0.22885697,0.00240612,0.02264765,0,0.03287515,0.01913134,0.08121209,1.49007124,100
20 - NSRD0800 Comp 5 Tails,Tails,1.41808364,8.96106435,53.02878716,2.68675802,18.63750028,0.0306998,10.573919,0.02827043,0,0,1.27033462,0.60563145,0.04805233,0,0.83680929,0.00067489,0.0783791,0,0.20155818,0.06099339,0.0442878,1.48819627,100
21 - NSRD0800 Comp 6 Tails,Tails,1.64244705,8.80454768,50.17489786,3.46387294,22.78971588,0.04144596,8.00510228,0.010564,0,0,1.40553463,0.54064383,0.05176771,0,1.06841555,0.00681516,0.054312,0,0.25406038,0.05542852,0.02821212,1.60221644,100
22 - NSRD0800 Comp 8 Tails,Tails,1.65758672,11.97651163,47.28276474,4.53344403,24.13496306,0.04058477,6.64173133,0.02129192,0,0,0.75583364,0.43428222,0.04846706,0,0.4031389,0,0.03039331,0,0.30594952,0.14935,0.05282768,1.53087944,100
23 - NSRD0800 Comp 11 Tails,Tails,2.25576541,6.85133115,54.90888232,2.47575574,16.90811732,0.03133577,11.69984057,0.59121865,0,0,1.06442924,0.72388418,0.04981634,0,0.47303417,0,0.05875168,0,0.1268091,0.03048745,0.18843778,1.56210313,100
24 - NSRD0800 Comp 15 Tails,Tails,1.74552188,7.57234715,51.16688662,2.46830508,13.62832472,0.03414416,17.35379026,0.7778449,0,0,1.73489497,0.64996214,0.04994054,0,0.55736879,0.00036114,0.04545279,0,0.21107729,0.05394532,0.10122675,1.84860549,100
33 - NSRD0799 Comp 5,Tails,10.14772804,6.05477277,51.32322937,1.43785058,8.62907058,0.03625175,15.72120975,2.3841861,0,0,0.78055475,0.69918314,0.04306749,0,0.18396966,0.00021429,0.01385364,0,0.04007913,0.07340454,0.13670147,2.29467294,100
34 - NSRD0799 Comp 6,Tails,4.72824529,6.40439363,56.24925486,1.10783951,8.37697366,0.01922982,14.66749314,2.5347169,0.00018733,0,1.887251,0.86195902,0.04784028,0,0.16748039,0,0.01236212,0.00025267,0.0325916,0.03567717,0.08142984,2.78482177,100
35 - NSRD0799 Comp 10,Tails,3.84086066,7.68441435,61.70479696,1.4684568,11.63366698,0.02418364,8.07669419,0.81317659,0,0.00025979,1.45647957,0.76567363,0.0327354,0,0.2170464,0,0.02251681,0,0.07643463,0.04242907,0.04464073,2.09553382,100
36 - NSRD0799 Comp 12,Tails,6.7653772,4.51339726,54.80567538,2.42881453,6.87696303,0.03602397,15.83900785,3.16954978,0,0.00035138,1.67457563,0.69987188,0.03701606,0,0.27242829,0,0.01874846,0,0.01075362,0.0158926,0.11729593,2.71825716,100
