Sample,Fe,SiO2,Al2O3,TiO2,MnO,CaO,P XRF,S XRF,MgO,K2O,Zn,Pb,Cu,Ba,V,Cr,Cl,As,Ni,Co,Sn,Sr,Zr,Na2O,LOI371,LOI371-650,LOI650-1000,LOITotal,Fe3O4,Dry Wt
GVRD0267-F-10-1,33.39,21.69,4.093,0.191,0.974,0.633,0.133,0.768,4.41,0.189,0.006,-0.001,0.002,0.009,0.003,0.039,0.002,0.001,0.018,0.002,0.002,0.009,0.004,0.031,0.37,17.02,1.96,19.35,8.43,776
GVRD0267-F-10-2,32.55,42.19,0.442,0.023,0.766,1.471,0.124,0.008,1.57,0.156,0.002,0.002,0.001,0.005,-0.001,0.003,0.002,-0.001,0.002,-0.001,-0.001,0.01,0.003,0.034,0.02,6.51,-0.11,6.42,34.3,670
GVRD0267-F-11-1,41.85,34.02,0.885,0.044,0.443,0.633,0.072,0.021,1.43,0.033,0.002,0.002,-0.001,0.004,0.002,0.006,0.001,-0.001,0.004,0.001,-0.001,0.01,0.002,0.038,-0.09,2.91,-0.22,2.6,50.6,670
GVRD0267-F-11-2,34.38,43.46,0.613,0.026,0.442,1.112,0.077,0.013,1.26,0.076,0.002,0.002,0.001,0.002,0.001,0.004,0.002,-0.001,0.003,0.001,-0.001,0.011,0.003,0.025,-0.03,3.82,-0.15,3.64,41.2,788
GVRD0267-F-12-1,37.65,36.43,0.737,0.031,0.689,1.399,0.125,0.015,1.71,0.165,0.001,-0.001,0.001,0.008,-0.001,0.004,0.001,0.001,0.003,-0.001,-0.001,0.01,0.002,0.02,-0.08,4.66,-0.15,4.43,44.1,772
GVRD0267-F-12-2,33.18,47.4,0.538,0.02,0.338,0.312,0.076,0.006,1,0.073,0.002,0.003,0.001,-0.001,0.001,0.003,0.001,-0.001,0.002,-0.001,-0.001,0.01,0.003,0.05,-0.07,2.51,-0.14,2.3,40.5,718
GVRD0267-F-13-1,33.49,43.52,0.664,0.027,0.497,1.134,0.071,0.014,1.76,0.053,0.002,0.001,0.001,0.002,-0.001,0.004,0.004,0.001,0.002,-0.001,-0.001,0.011,0.002,0.075,-0.07,4.23,-0.12,4.04,37.6,784
GVRD0267-F-13-2,33.51,41.26,0.521,0.022,0.6,2.783,0.067,0.015,1.85,0.013,0.002,0.003,0.001,0.003,-0.001,0.005,0.003,-0.001,0.003,0.001,0.001,0.011,0.003,0.051,-0.05,5.11,-0.13,4.93,40.4,682
GVRD0267-F-14-1,30.04,42.9,0.874,0.037,0.767,0.745,0.091,0.094,2.47,0.003,0.002,0.002,0.001,-0.001,-0.001,0.006,0.002,-0.001,0.004,0.001,-0.001,0.011,0.003,0.014,0.12,8.68,0,8.8,25.6,658
OREAS 40,66.72,4.64,0.13,0.05,0.02,0.015,0.004,0.008,0.017,0.018,0.001,0.001,0.002,0.005,0.001,0.04,0.005,0.005,0.004,0.001,0.001,0.003,0.004,0.013,-0.01,-0.22,-0.02,-0.25,,
STD 1.1,66.67,4.678,0.135,0.045,0.015,0.015,0.005,0.009,0.019,0.018,0.001,-0.001,0.003,0.005,0.001,0.039,0.005,0.005,0.003,0.001,0.001,0.003,0.003,0.016,0,-0.25,-0.03,-0.28, , 
GVRD0267-F-14-2,37.11,36.77,0.899,0.034,0.732,1.456,0.081,0.016,1.6,0.001,0.002,-0.001,-0.001,-0.001,-0.001,0.005,0.001,-0.001,0.004,-0.001,0.001,0.01,0.002,0.025,0.01,5.34,-0.34,5.01,41.9,690
