Mineral,Sample,Spinel group - Magnetite,Hematite group,Goethite,Quartz,Sepiolite,Chlorite group,Mica group,Kaolinite-serpentine group,Dolomite group,Calcite group,Calcite group - Calcite,Pyrite group,Plagioclase,K-Feldspar,Total
AN0795-1,GVRD0267-F-10-1,9.122,0.000,0.000,19.791,0.000,14.583,1.935,0.000,0.000,53.091,0.000,1.479,0.000,0.000,100
AN0795-2,GVRD0267-F-10-2,31.458,1.107,0.000,44.374,0.000,0.000,0.641,1.227,4.134,17.060,0.000,0.000,0.000,0.000,100
AN0795-3,GVRD0267-F-11-1,50.066,0.000,0.000,36.100,0.000,3.450,0.000,0.000,1.302,9.082,0.000,0.000,0.000,0.000,100
AN0795-4,GVRD0267-F-11-2,38.370,0.000,0.000,46.221,0.000,1.778,0.000,0.000,3.733,9.898,0.000,0.000,0.000,0.000,100
AN0795-5,GVRD0267-F-12-1,42.826,1.724,0.000,38.392,0.000,1.321,0.736,0.000,4.074,10.926,0.000,0.000,0.000,0.000,100
AN0795-6,GVRD0267-F-12-2,38.261,0.000,0.000,51.335,0.000,1.396,0.000,0.000,0.000,9.009,0.000,0.000,0.000,0.000,100
AN0795-7,GVRD0267-F-13-1,35.491,3.472,0.000,45.932,0.000,1.810,0.000,0.000,3.157,10.138,0.000,0.000,0.000,0.000,100
AN0795-8,GVRD0267-F-13-2,36.696,0.857,0.000,42.517,0.000,1.453,0.000,0.000,11.381,7.095,0.000,0.000,0.000,0.000,100
AN0795-9,GVRD0267-F-14-1,24.617,0.969,0.000,44.814,0.000,4.142,0.000,0.000,1.378,24.081,0.000,0.000,0.000,0.000,100
AN0795-10,GVRD0267-F-14-2,39.894,0.837,0.000,38.166,0.000,4.378,0.000,0.000,4.697,12.029,0.000,0.000,0.000,0.000,100
AN0795-11,GVRD0268-F-1-1,34.032,5.738,0.000,32.646,0.000,1.557,1.036,0.000,0.000,24.992,0.000,0.000,0.000,0.000,100
AN0795-12,GVRD0268-F-1-2,23.933,5.113,0.000,47.751,0.000,0.000,0.959,0.000,0.000,22.245,0.000,0.000,0.000,0.000,100
AN0795-13,GVRD0268-F-10-1,13.504,0.491,0.000,46.718,0.000,11.113,0.000,0.000,0.000,28.174,0.000,0.000,0.000,0.000,100
AN0795-14,GVRD0268-F-10-2,36.338,1.365,0.000,39.909,0.000,2.771,0.000,0.000,0.000,19.617,0.000,0.000,0.000,0.000,100
AN0795-15,GVRD0268-F-11-1,35.849,8.188,0.000,34.608,0.000,3.051,1.185,0.000,0.000,15.421,0.000,0.000,0.000,1.697,100
AN0795-16,GVRD0268-F-11-2,47.059,0.605,0.000,38.932,0.000,2.048,0.000,0.000,6.872,4.484,0.000,0.000,0.000,0.000,100
AN0795-17,GVRD0268-F-12-1,40.580,4.571,0.000,35.639,0.000,2.057,1.046,0.000,0.000,11.803,0.000,0.000,0.000,4.304,100
AN0795-18,GVRD0268-F-12-2,38.506,3.460,0.000,44.147,0.000,0.000,0.687,0.000,0.000,12.295,0.000,0.000,0.000,0.904,100
AN0795-19,GVRD0268-F-13-1,34.828,0.878,0.000,38.738,0.000,3.487,1.055,0.000,0.000,17.942,0.000,0.000,0.000,3.072,100
AN0795-20,GVRD0268-F-13-2,43.864,1.487,0.000,37.247,0.000,2.537,0.493,0.000,0.000,14.371,0.000,0.000,0.000,0.000,100
AN0795-21,GVRD0268-F-14-1,48.165,0.611,0.000,43.449,0.000,0.446,0.000,0.000,0.000,7.329,0.000,0.000,0.000,0.000,100
