Sample,BHID,Composite,Size,Type,Fe3O4,Fe,SiO2,Al2O3,TiO2,Mn,CaO,P,S,MgO,K2O,Na2O,Zn,As,Cl,Cu,Pb,Ba,V,Cr,Ni,Co,Sn,Zr,Sr,LOI371,LOI650,LOI1000,LOI
44712670001,GVRD0267,Comp 4,-53um,FEED,27.81,34.61,37.2,1.271,0.06,0.456,0.799,0.109,0.103,1.86,0.142,0.045,0.003,0.001,0.007,-0.001,-0.001,-0.001,-0.001,0.013,0.003,-0.001,-0.001,0.003,0.009,1.06,6.74,-0.02,7.78
44712670002,GVRD0267,Comp 5,-53um,FEED,26.43,32.79,40.07,1.529,0.064,0.402,0.879,0.116,0.126,1.89,0.107,0.022,0.002,0.001,0.005,0.002,-0.001,-0.001,0.001,0.013,0.002,-0.001,-0.001,0.003,0.009,0.61,6.5,0.05,7.16
44712670003,GVRD0267,Comp 6,-53um,FEED,26.23,32.32,40.37,1.583,0.066,0.472,0.789,0.102,0.114,2.07,0.15,0.034,0.002,0.002,0.003,0.001,-0.001,-0.001,0.001,0.011,0.001,-0.001,-0.001,0.003,0.009,0.48,6.93,0.04,7.45
44712670004,GVRD0267,Comp 7,-53um,FEED,25.74,33.45,40.12,0.982,0.038,0.455,0.902,0.116,0.089,1.79,0.133,0.017,0.002,0.002,0.001,0.001,-0.001,-0.001,-0.001,0.009,-0.001,-0.001,-0.001,0.003,0.005,0.45,6.36,0.11,6.92
44712670005,GVRD0267,Comp 8,-53um,FEED,29.59,33.68,39.97,0.999,0.048,0.447,0.927,0.122,0.064,1.63,0.172,0.016,0.002,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.003,0.01,0.5,6.17,0.04,6.71
44712670006,GVRD0267,Comp 9,-53um,FEED,25.05,31.48,40.16,1.6,0.066,0.528,0.726,0.091,0.351,2.29,0.133,0.015,0.003,0.001,0.002,0.001,0.001,-0.001,0.001,0.015,-0.001,-0.001,-0.001,0.004,0.01,0.09,8.41,0.38,8.88
44712670007,GVRD0267,Comp 4,-45um,FEED,26.92,34.46,37.65,1.301,0.055,0.454,0.773,0.102,0.106,1.83,0.14,0.04,0.003,0.005,0.002,0.001,-0.001,-0.001,-0.001,0.012,-0.001,-0.001,-0.001,0.003,0.008,1.18,6.53,0.05,7.76
44712670008,GVRD0267,Comp 5,-45um,FEED,26.13,32.93,40.22,1.506,0.069,0.4,0.842,0.108,0.115,1.86,0.1,0.021,0.002,0.002,0.002,-0.001,-0.001,-0.001,0.001,0.011,-0.001,-0.001,-0.001,0.003,0.009,0.87,6.15,0.08,7.1
44712670009,GVRD0267,Comp 6,-45um,FEED,25.15,31.98,41.04,1.562,0.064,0.469,0.753,0.095,0.121,2.05,0.148,0.021,0.002,0.001,0.003,-0.001,-0.001,-0.001,0.001,0.01,0.003,-0.001,-0.001,0.002,0.006,0.48,6.71,0.1,7.29
44712670010,GVRD0267,Comp 7,-45um,FEED,25.74,33.61,39.84,0.973,0.039,0.459,0.89,0.117,0.091,1.78,0.134,0.02,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.012,0.002,-0.001,-0.001,0.003,0.008,0.55,6.35,0.1,7.0
44712670011,GVRD0267,Comp 8,-45um,FEED,29.39,33.84,39.56,1.044,0.048,0.447,0.905,0.116,0.068,1.65,0.172,0.01,0.002,0.001,0.004,-0.001,-0.001,0.003,-0.001,0.013,0.005,-0.001,-0.001,0.003,0.009,0.65,6.13,0.08,6.86
44712670012,GVRD0267,Comp 9,-45um,FEED,24.95,31.08,40.24,1.753,0.066,0.524,0.712,0.087,0.318,2.26,0.133,0.014,0.002,0.001,0.004,0.002,-0.001,-0.001,0.001,0.019,0.006,-0.001,-0.001,0.003,0.008,0.1,8.07,0.46,8.63
44712670013,GVRD0267,Comp 4,-38um,FEED,26.53,34.28,37.74,1.263,0.053,0.46,0.79,0.098,0.099,1.86,0.132,0.038,0.002,0.001,0.006,0.002,-0.001,-0.001,-0.001,0.008,0.001,0.001,-0.001,0.003,0.009,1.46,6.33,0.11,7.9
44712670014,GVRD0267,Comp 5,-38um,FEED,27.22,33.11,39.9,1.531,0.063,0.4,0.839,0.109,0.111,1.86,0.102,0.022,0.002,0.001,0.002,0.001,-0.001,-0.001,0.001,0.011,-0.001,-0.001,-0.001,0.003,0.005,1.03,5.9,0.14,7.07
44712670015,GVRD0267,Comp 6,-38um,FEED,26.63,32.59,40.36,1.537,0.069,0.467,0.765,0.1,0.108,2.02,0.15,0.03,0.002,0.001,0.003,0.001,0.001,0.002,0.001,0.011,0.001,0.001,-0.001,0.004,0.01,0.65,6.48,0.14,7.27
44712670016,GVRD0267,Comp 7,-38um,FEED,26.33,34.38,39.23,0.98,0.043,0.453,0.878,0.115,0.081,1.76,0.134,0.026,0.002,0.001,0.003,0.003,0.003,-0.001,-0.001,0.012,0.003,0.001,-0.001,0.004,0.011,0.64,6.11,0.15,6.9
