Sample ID,From(m),To(m),Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_Total_%,LOI_1000_%
NSRD0796-O-1,36.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSRD0796-F-2,47.5,56.8,35.143,39.600,1.402,0.064,0.563,0.432,0.123,0.060,1.817,0.352,0.028,0.004,0.000,0.000,0.002,0.002,0.004,0.003,0.010,0.007,0.001,0.001,0.001,0.008,25.267,0.493,4.367,-0.070,4.790
NSRD0796-F-3,56.8,65.8,35.710,37.400,1.712,0.076,0.572,0.585,0.091,0.066,2.363,0.501,0.034,0.005,0.001,0.000,0.003,0.002,0.006,0.003,0.012,0.010,0.002,0.001,0.001,0.008,36.800,0.107,5.283,-0.337,5.053
NSRD0796-F-4,65.8,74.8,35.070,39.520,1.141,0.051,0.607,0.784,0.102,0.032,1.987,0.257,0.035,0.004,0.001,0.000,0.002,0.002,0.003,0.002,0.008,0.006,0.001,0.001,0.000,0.008,37.600,0.090,5.153,-0.410,4.833
NSRD0796-F-5,74.8,83.8,35.667,35.273,1.442,0.066,0.622,0.709,0.103,0.074,2.407,0.308,0.060,0.004,0.001,0.000,0.002,0.001,0.004,0.002,0.010,0.007,0.001,0.001,0.001,0.008,33.467,0.357,7.337,-0.340,7.353
NSRD0796-F-6,83.8,92.4,34.260,34.907,1.293,0.053,0.602,0.667,0.100,0.059,2.267,0.359,0.205,0.004,0.001,0.000,0.003,0.001,0.003,0.001,0.010,0.006,0.001,0.001,0.000,0.009,27.033,2.353,7.847,-0.227,9.973
NSRD0796-F-7,92.4,101.3,35.293,36.690,1.104,0.049,0.590,0.790,0.084,0.024,2.040,0.289,0.207,0.004,0.001,0.000,0.003,0.002,0.002,0.001,0.007,0.005,0.001,0.001,0.001,0.010,32.867,0.303,7.193,-0.303,7.193
NSRD0796-F-8,101.3,110.7,36.067,34.147,1.243,0.054,0.593,0.711,0.093,0.033,1.740,0.501,0.220,0.002,0.002,0.001,0.001,0.001,0.007,0.002,0.009,0.004,0.001,0.001,0.002,0.009,26.630,0.063,8.603,0.040,8.707
NSRD0796-F-9,110.7,119.5,35.687,29.067,1.255,0.053,0.609,0.736,0.088,0.024,2.193,0.538,0.125,0.002,0.001,0.002,0.001,0.001,0.008,0.002,0.007,0.005,0.001,0.001,0.002,0.008,18.470,0.133,13.730,0.070,13.933
NSRD0796-F-10,119.5,128.3,33.423,32.027,0.980,0.041,0.582,0.729,0.096,0.005,2.340,0.456,0.150,0.002,0.001,0.004,0.002,0.001,0.004,0.001,0.006,0.003,0.001,0.001,0.002,0.008,15.843,0.170,14.343,0.020,14.533
