Sample ID,From(m),To(m),Chlorite_ group_%,Quartz_%,Pyroxene_%,Plagioclase_%,K-Feldspar_%,Calcite_ group_siderite_%,Calcite_ group_%,Dolomite_ group_%,Spinel_ group_%,Hematite_ group_%,Stilpnomelane_%,Mica_ group_%,Pyrite_%,Rutile_ group_%,Goethite_%,Smectite_ group_%,Sepiolite_%,Kaolinite-serpentine_ group_%
NSRD0796-F-2,47.5,56.8,3.13,41.91,0.00,0.00,0.00,12.35,0.00,0.00,26.62,12.92,0.00,0.00,0.00,0.41,2.66,0.00,0.00,0.00
NSRD0796-F-3,56.8,65.8,4.74,37.64,0.00,0.00,0.00,14.30,0.00,0.99,39.67,1.52,0.00,0.00,0.00,0.69,0.00,0.00,0.46,0.00
NSRD0796-F-4,65.8,74.78,4.40,40.26,0.00,0.00,0.00,13.37,0.00,1.55,38.76,1.11,0.00,0.00,0.00,0.38,0.00,0.00,0.17,0.00
NSRD0796-F-5,74.78,83.84,6.45,35.39,0.00,0.00,0.00,20.94,0.00,1.77,33.74,0.87,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00
NSRD0796-F-6,83.84,92.37,3.02,34.71,0.00,2.38,0.00,29.19,0.00,1.16,27.82,0.96,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00
NSRD0796-F-7,92.37,101.26,2.69,37.76,0.00,0.00,0.00,20.40,0.00,2.14,34.69,1.86,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00
NSRD0797-F-3,65.82,76.21,3.68,39.36,0.00,0.55,0.00,22.36,0.00,0.81,27.50,5.39,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0797-F-4,76.21,86.6,5.23,41.84,0.00,0.00,0.00,19.73,0.00,1.43,27.22,4.36,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0797-F-8,117.8,128.2,6.09,40.55,0.00,0.00,0.00,20.52,0.00,1.68,25.54,4.31,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0797-F-9,128.2,138.5,2.97,41.31,0.00,0.00,0.00,18.64,0.00,2.26,25.88,7.57,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0797-F-13,169.74,180.13,2.93,41.81,0.00,0.00,0.00,18.95,0.00,1.91,29.97,4.02,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0797-F-14,180.13,190.52,6.99,40.99,0.00,0.00,0.00,24.66,0.00,1.36,24.58,1.39,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0798-F-3,37.101,47.57,4.18,41.88,0.00,0.00,0.00,11.07,0.00,0.00,31.22,9.18,0.00,0.00,0.00,0.40,2.07,0.00,0.00,0.00
NSRD0798-F-4,47.57,58.06,7.92,35.26,0.00,0.00,0.00,19.77,0.00,0.00,27.90,1.45,0.00,0.00,0.00,0.39,0.00,0.00,7.32,0.00
NSRD0798-F-5,58.06,68.563,6.65,39.40,0.00,0.00,0.00,21.03,0.00,0.00,30.04,1.16,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00
NSRD0798-F-6,68.563,79.065,6.28,40.16,0.00,0.00,0.00,15.79,0.00,0.00,35.30,1.04,0.00,0.00,0.00,0.43,1.00,0.00,0.00,0.00
NSRD0798-F-7,79.065,89.564,2.55,39.14,0.00,0.00,0.00,12.09,0.00,4.33,36.73,4.46,0.00,0.09,0.00,0.60,0.00,0.00,0.00,0.00
NSRD0798-F-8,89.564,100.061,3.04,37.02,0.00,0.00,0.00,11.10,0.00,4.66,37.87,5.39,0.00,0.09,0.00,0.83,0.00,0.00,0.00,0.00
NSRD0798-F-9,100.061,110.56,4.50,38.14,0.00,0.00,3.29,10.26,0.33,5.10,30.85,3.40,3.56,0.00,0.00,0.58,0.00,0.00,0.00,0.00
NSRD0798-F-10,110.56,121.065,9.47,33.84,0.00,0.00,6.33,12.03,0.66,3.91,23.39,0.78,8.34,0.00,0.46,0.79,0.00,0.00,0.00,0.00
NSRD0799-F-5,61.199,71.591,13.53,30.12,0.00,0.00,16.62,10.42,1.05,3.81,13.74,0.00,10.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0799-F-6,71.591,81.984,14.93,30.92,0.00,0.00,12.64,12.66,0.94,3.49,10.56,0.62,11.70,0.00,0.48,1.06,0.00,0.00,0.00,0.00
NSRD0799-F-10,113.161,123.553,7.67,36.34,0.00,0.00,4.55,10.73,0.45,5.63,26.26,1.47,5.92,0.00,0.38,0.61,0.00,0.00,0.00,0.00
NSRD0799-F-12,133.945,144.337,5.86,33.86,0.00,0.00,5.47,11.62,0.60,5.10,29.39,1.50,5.89,0.00,0.00,0.73,0.00,0.00,0.00,0.00
NSRD0799-F-13,144.337,154.73,4.00,39.52,0.00,0.00,3.02,11.82,0.31,5.66,27.43,2.98,4.93,0.00,0.00,0.34,0.00,0.00,0.00,0.00
NSRD0799-F-14,154.73,165.122,4.37,37.80,0.00,0.00,1.90,12.01,0.49,7.48,28.33,1.20,5.88,0.00,0.00,0.54,0.00,0.00,0.00,0.00
NSRD0799-F-16,175.514,185.907,4.87,38.64,0.00,0.00,0.92,14.43,0.86,5.20,22.61,1.46,9.72,0.00,0.40,0.89,0.00,0.00,0.00,0.00
NSRD0799-F-17,185.907,196.299,8.72,33.05,0.00,0.00,3.99,17.27,1.54,5.78,12.19,0.00,16.11,0.00,0.90,0.46,0.00,0.00,0.00,0.00
NSRD0800-F-4,45,55.4,10.11,36.57,0.00,0.00,5.44,13.42,1.21,5.20,10.93,0.00,15.52,0.00,1.30,0.30,0.00,0.00,0.00,0.00
NSRD0800-F-5,55.4,65.8,4.97,34.34,0.00,0.00,2.03,13.67,0.49,5.07,25.06,0.00,13.49,0.00,0.40,0.48,0.00,0.00,0.00,0.00
NSRD0800-F-6,65.8,76.2,0.79,41.68,0.00,0.00,0.00,21.13,0.00,0.00,30.05,5.77,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0800-F-8,86.6,96.9,2.69,41.33,0.00,0.00,0.00,22.13,0.00,0.00,31.61,1.46,0.00,0.25,0.52,0.00,0.00,0.00,0.00,0.00
NSRD0800-F-11,117.8,128.2,5.12,40.00,0.00,0.00,0.00,14.99,0.00,0.00,37.48,1.96,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00
NSRD0800-F-15,159.4,169.7,8.01,40.58,0.00,0.00,0.00,25.06,0.00,0.00,25.84,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NSRD0801-F-3,47.5,57.7,2.13,39.98,0.00,0.00,0.00,16.17,0.00,0.00,34.58,5.76,0.00,0.59,0.55,0.24,0.00,0.00,0.00,0.00
