mineral,gibbs,endmember,group,formula,loi371,loi650,loi1000
magnetite,-1120.894,,,Fe3O4,Fe2O3,,
quartz,-910.94,,,SiO2,,,
siderite,-747,,carbonate,FeCO3,,Fe2O3; CO2,
pyrite,-178.2,,,FeS2,Fe2O3; SO2,,
chalcopyrite,-193,,,CuFeS2,Fe2O3;CuO;SO2,,
ferrostilpnomelane,-2332,stilpnomelane,,K5Fe48(Si63Al9)O165(OH)48(H2O)12,K5Fe48(Si63Al9)O165;H2O,,
ferristilpnomelane,-2332,stilpnomelane,,K5Fe48(Si63Al9)O216(H2O)36,H2O;K5Fe48(Si63Al9)O216,,
fe-ankerite,-1970.62,ankerite,carbonate,CaFe(CO3)2,,,CO2;CaO;Fe2O3
mg-ankerite,-1970.62,ankerite,carbonate,CaMg(CO3)2,,,CO2;MgO;CaO
rutile,-6.65,,,TiO2,,,
titanite,-2456.2,,,CaTi(SiO4)O,,,
sepiolite,-9251,,,Mg8Si12O30(OH)4(H2O)4,Mg8Si12O30(OH)4(H2O)2;H2O,Mg8Si12O30(OH)4;H2O,Mg8Si12O30;H2O
clinochlore,-1974,chlorite,,Mg5Al5Si3O10(OH8),Mg5Al5Si3O10;H2O,,
chamosite,-1974,chlorite,,Fe5Al5Si3O10(OH8),Fe5Al5Si3O10;H2O,,
chlorite,1974,chlorite,,Fe4MgAl5Si3O10(OH8),Fe4MgAl5Si3O10;H2O,,
talc,-1319.4,,,Mg3Si4O10(OH)2,,Mg3Si4O10;H2O,
magnesite,-1110.93,,carbonate,MgCO3,MgO;CO2,,
apatite,-846,,,CaPO4,,,
ilmenite,-1158,,,FeTiO3,,,
calcite,-1207.88,,carbonate,CaCO3,,,CaO;CO2
albite,-883,,,NaAlSi3O8,,,
orthoclase,-896,,,KAlSi3O8,,,
riebeckite,,,,Na2Fe5Si8O22(OH)2,,Na2Fe5Si8O22;H2O,
magnesiocummingtonite,,cummingtonite,,Mg7Si8O22(OH)2,,Mg7Si8O22;H2O,
grunerite,,cummingtonite,,Fe7Si8O22(OH)2,,Fe7Si8O22;H2O,
goethite,-488,,,FeO(OH),Fe2O3;H2O,,
hematite,-483.9,,,Fe2O3,,,
annite,-1147,biotite,,KFe3AlSi3O10(OH)2,,KFe3AlSi3O10;H2O,
phlogopite,-1396,biotite,,KMg3AlSi3O10(OH)2,,KMg3AlSi3O10;H2O,
chromite,-1355,,,FeCr2O4,,,
muscovite,-1336,,,(KF)2(Al2O3)3(SiO2)6(H2O),,(KF)2(Al2O3)3(SiO2)6;H2O,
zircon,-1918,,,ZrSiO4,,,
monazite,,,,CePO4,,,
kaolinite,-906.84,,,Al2Si2O5(OH)4,,,Al2Si2O7;H2O
rhodochrosite,-892.28,ankerite,,MnCO3,,MnO2;CO2,
stilpnomelane,,,,K3Fe45Mg15(Si70Al10)O165(OH)12(H2O)12,K3Fe45Mg15(Si70Al10)O165;H2O,,
chlorite2,,,,Fe4Mg1Al3Si3O15(OH8),Fe4Mg1Al3Si3O15;H2O,,
