Label,O,F,Na,Mg,Al,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Cu,Zn,Ba,Pb,Total,Project Path (1),BHID_slide,slide,BHID,Project Path (3),Mineral,NumericMineral
Spectrum 185,38.47,,,4.91,7.38,17.21,,,1.32,,,,,30.71,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 1,Stilp,1
Spectrum 184,38.74,,,5.16,7.18,17.66,,,1.48,,,,,29.78,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 1,Stilp,1
Spectrum 64,42.47,,,2.66,2.6,27.64,,,1.63,,,,,23,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,Stilp,1
Spectrum 39,39.66,,,6.42,6.85,18.75,,,1.64,,,,,26.68,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 4,Stilp,1
Spectrum 59,38.99,,0.64,4.34,5.25,19.73,,,1.75,,,,,29.3,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 1,Stilp,1
Spectrum 3,42.59,,,4.93,4.66,20.54,,,1.76,,,,,25.52,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,Stilp,1
Spectrum 8,42.33,,0.56,4.87,4.54,21,,,1.77,,,,,24.92,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,Stilp,1
Spectrum 234,40.63,,0.53,4.8,3.56,23.22,,,1.78,,,,,25.48,,,,,100,23_1878,NSRD0798-5,5,NSRD0798,Site 1,Stilp,1
Spectrum 44,43.05,,,3.43,2.49,28.27,,,1.82,,,,,20.93,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,Stilp,1
Spectrum 43,40.61,,,4.34,3.19,23.69,,,1.83,,,,0.38,25.96,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,Stilp,1
Spectrum 170,41.65,,,3.23,3.27,25.7,,,1.86,,,,,24.29,,,,,100,23_1878,NSRD0800-10,10,NSRD0800,Site 2,Stilp,1
Spectrum 14,41.76,,,5.17,4.9,19.95,,,1.91,,,,,26.31,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,Stilp,1
Spectrum 25,40.03,,0.49,5.15,4.73,21.35,,,1.91,,,,,26.34,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 2,Stilp,1
Spectrum 41,39.96,,,4.4,2.91,22.89,,,1.91,,,,0.98,26.94,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 4,Stilp,1
Spectrum 67,39.13,,,4.42,5.73,19.65,,,1.96,,,,,29.1,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,Stilp,1
Spectrum 68,39.47,,,3.7,3.85,21.81,,,1.99,,,,,29.17,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,Stilp,1
Spectrum 168,41.06,,,4.09,6.82,17.28,,3.23,1.99,,,0.36,,25.17,,,,,100,23_1878,NSRD0800-10,10,NSRD0800,Site 1,Stilp,1
Spectrum 186,38.94,,,4.55,5.71,19.33,,,2.07,,,,,29.4,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,Site 1,Stilp,1
Spectrum 55,41.49,,,4.01,2.93,25.37,,,2.08,,,,0.36,23.75,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 6,Stilp,1
Spectrum 4,41.25,,0.54,5.01,4.32,20.82,,,2.09,,,,0.34,25.63,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,Stilp,1
Spectrum 62,39.05,,,4.3,5.05,20.07,,,2.1,,,,,29.41,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 2,Stilp,1
Spectrum 164,40.39,,,3.54,3.39,23.61,,,2.11,,,,,26.96,,,,,100,23_1878,NSRD0800-10,10,NSRD0800,Site 1,Stilp,1
Spectrum 51,40.68,,,4.43,3.16,23.81,,,2.13,,,,0.34,25.46,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 5,Stilp,1
Spectrum 120,38.72,,,3.74,4.82,19.99,,,2.15,,,,,30.58,,,,,100,23_1878,NSRD0800-12,12,NSRD0800,Site 3,Stilp,1
Spectrum 58,39.44,,,4.05,4.45,21.2,,,2.17,,,,,28.7,,,,,100,23_1878,NSRD0798-8,8,NSRD0798,Site 1,Stilp,1
Spectrum 208,40.02,,0.69,3.43,3.14,23.22,,,2.18,,,,,27.32,,,,,100,23_1878,NSRD0798-10,10,NSRD0798,NSRD0798-11,Stilp,1
Spectrum 19,41.04,,,4.33,2.63,19.97,,,2.19,0.24,,,1.43,28.17,,,,,100,23_1878,NSRD0798-7,7,NSRD0798,Site 1,Stilp,1
